hostname,timestamp,number_of_active_tcp_open,cpu_utilization_on_user_mode,sleeping_uninterruptible,number_of_zombie_processes,total_free_memory_megabytes,free_swap_space_megabytes,cpu_utilization_on_interrupt_handling,kernel_malloc,total_memory_megabytes,cpu_waiting_time_percentage,number_of_received_tcp_segments,write_request_throughput,number_of_transmitted_udp_datagrams,cpu_running_time_on_user_mode,filesystem_metadata,number_of_open_processes,number_of_interrupt,number_of_passive_tcp_open,number_of_running_threads,number_of_transmitted_icmp_datagrams,page_cache_megabytes,number_of_received_udp_datagrams,number_of_context_switching,number_of_exit_processes,cpu_load_average_per_5_minutes,cpu_utilization_on_kernel_mode,maximum_vm_space_megabytes,disk_busy_time,clone_system_call,total_swap_space_megabytes,read_request_throughput,cpu_load_average_per_15_minutes,number_of_received_icmp_datagrams,cpu_stolen_time_percentage,cpu_running_time_on_system_mode,current_vm_space_megabytes,number_of_retransmission,cpu_load_average_per_minute,cpu_idle_time_percentage,number_of_transmitted_tcp_segments,attack_flag,attack_step,attack_name
att,1716967291,-1,65,-1,0,199.9,2000.0,1,304.5,7500.0,1,20951,58096,14,0.01,135.2,4,18.364,-1,-1,-1,3400.0,14,0.0,-1,1.22,9,5700.0,3,-1,2000.0,51330,0.87,-1,-1,0.0,10200.0,-1,1.7,724,16734,0,benign,benign
att,1716967302,-1,65,-1,0,187.1,2000.0,1,304.5,7500.0,1,20953,58127,15,0.01,135.3,5,18.508,-1,-1,-1,3400.0,14,0.0,-1,1.2,9,5700.0,3,-1,2000.0,51341,0.86,-1,-1,0.0,10200.0,-1,1.51,724,16736,0,benign,benign
att,1716967313,-1,65,-1,0,217.4,2000.0,1,304.5,7500.0,1,20955,58134,16,0.01,135.3,4,18.672,-1,-1,-1,3400.0,14,0.0,-1,1.21,9,5700.0,3,-1,2000.0,51345,0.87,-1,-1,0.0,10200.0,-1,1.51,724,16738,0,benign,benign
att,1716967324,-1,65,-1,0,255.2,2000.0,1,304.5,7500.0,1,20957,58317,17,0.02,135.3,4,18.829,-1,-1,-1,3400.0,14,0.0,-1,1.2,9,5700.0,3,-1,2000.0,51345,0.87,-1,-1,0.0,10200.0,-1,1.4,723,16740,0,benign,benign
att,1716967335,-1,65,-1,0,233.9,2000.0,1,304.6,7500.0,1,20959,58364,18,0.02,135.4,4,18.989,-1,-1,-1,3400.0,14,0.0,-1,1.19,9,5700.0,3,-1,2000.0,51345,0.88,-1,-1,0.0,10200.0,-1,1.34,723,16742,0,benign,benign
att,1716967346,-1,65,-1,0,224.0,2000.0,1,305.0,7500.0,1,20961,58459,19,0.02,135.4,4,19.138,-1,-1,-1,3400.0,14,0.0,-1,1.17,9,5700.0,3,-1,2000.0,51345,0.87,-1,-1,0.0,10200.0,-1,1.21,723,16744,0,benign,benign
att,1716967357,-1,65,-1,0,229.9,2000.0,1,305.6,7500.0,1,21965,58519,21,0.02,135.5,4,19.321,-1,-1,-1,3400.0,15,0.0,-1,1.15,9,5700.0,3,-1,2000.0,51350,0.87,-1,-1,0.0,10200.0,-1,1.1,723,16746,0,benign,benign
att,1716967368,-1,65,-1,0,234.7,2000.0,1,305.9,7500.0,1,21967,58589,22,0.02,135.5,4,19.479,-1,-1,-1,3400.0,15,0.0,-1,1.17,10,5700.0,3,-1,2000.0,51352,0.88,-1,-1,0.0,10200.0,-1,1.23,723,16748,0,benign,benign
att,1716967379,-1,66,-1,0,223.6,2000.0,1,306.2,7500.0,1,21969,58721,23,0.02,135.5,4,19.638,-1,-1,-1,3400.0,15,0.0,-1,1.17,10,5700.0,3,-1,2000.0,51352,0.88,-1,-1,0.0,10200.0,-1,1.19,723,16750,0,benign,benign
att,1716967390,-1,66,-1,0,218.2,2000.0,1,306.5,7500.0,1,21971,58806,24,0.02,135.6,4,19.793,-1,-1,-1,3400.0,15,0.0,-1,1.16,10,5700.0,3,-1,2000.0,51364,0.89,-1,-1,0.0,10200.0,-1,1.16,723,16752,0,benign,benign
att,1716967401,-1,66,-1,0,220.9,2000.0,1,306.9,7500.0,1,21973,58899,25,0.02,135.6,4,19.947,-1,-1,-1,3400.0,15,0.0,-1,1.17,10,5700.0,3,-1,2000.0,51364,0.89,-1,-1,0.0,10200.0,-1,1.21,723,16754,0,benign,benign
att,1716967412,-1,66,-1,0,206.5,2000.0,1,307.2,7500.0,1,21975,59008,26,0.02,135.7,4,20.084,-1,-1,-1,3400.0,15,0.0,-1,1.18,10,5700.0,3,-1,2000.0,51364,0.9,-1,-1,0.0,10200.0,-1,1.26,722,16756,0,benign,benign
att,1716967423,-1,66,-1,0,197.3,2000.0,1,307.5,7500.0,1,21977,59071,27,0.02,135.7,4,20.241,-1,-1,-1,3400.0,15,0.0,-1,1.24,10,5700.0,3,-1,2000.0,51364,0.92,-1,-1,0.0,10200.0,-1,1.54,722,16758,0,benign,benign
att,1716967434,-1,66,-1,0,229.8,2000.0,1,307.9,7500.0,1,21979,59119,28,0.02,135.7,4,20.400000000000002,-1,-1,-1,3400.0,15,0.0,-1,1.25,10,5700.0,3,-1,2000.0,51364,0.93,-1,-1,0.0,10200.0,-1,1.48,722,16760,0,benign,benign
att,1716967445,-1,66,-1,0,221.5,2000.0,1,307.9,7500.0,1,21981,59234,29,0.02,135.8,4,20.563,-1,-1,-1,3400.0,15,0.0,-1,1.24,10,5700.0,3,-1,2000.0,51364,0.93,-1,-1,0.0,10200.0,-1,1.42,722,16762,0,benign,benign
att,1716967291,-1,65,-1,0,199.9,2000.0,1,304.5,7500.0,1,20951,58096,14,0.01,135.2,4,18.364,-1,-1,-1,3400.0,14,0.0,-1,1.22,9,5700.0,3,-1,2000.0,51330,0.87,-1,-1,0.0,10200.0,-1,1.7,724,16734,0,benign,benign
att,1716967302,-1,65,-1,0,187.1,2000.0,1,304.5,7500.0,1,20953,58127,15,0.01,135.3,5,18.508,-1,-1,-1,3400.0,14,0.0,-1,1.2,9,5700.0,3,-1,2000.0,51341,0.86,-1,-1,0.0,10200.0,-1,1.51,724,16736,0,benign,benign
att,1716967313,-1,65,-1,0,217.4,2000.0,1,304.5,7500.0,1,20955,58134,16,0.01,135.3,4,18.672,-1,-1,-1,3400.0,14,0.0,-1,1.21,9,5700.0,3,-1,2000.0,51345,0.87,-1,-1,0.0,10200.0,-1,1.51,724,16738,0,benign,benign
att,1716967324,-1,65,-1,0,255.2,2000.0,1,304.5,7500.0,1,20957,58317,17,0.02,135.3,4,18.829,-1,-1,-1,3400.0,14,0.0,-1,1.2,9,5700.0,3,-1,2000.0,51345,0.87,-1,-1,0.0,10200.0,-1,1.4,723,16740,0,benign,benign
att,1716967335,-1,65,-1,0,233.9,2000.0,1,304.6,7500.0,1,20959,58364,18,0.02,135.4,4,18.989,-1,-1,-1,3400.0,14,0.0,-1,1.19,9,5700.0,3,-1,2000.0,51345,0.88,-1,-1,0.0,10200.0,-1,1.34,723,16742,0,benign,benign
att,1716967346,-1,65,-1,0,224.0,2000.0,1,305.0,7500.0,1,20961,58459,19,0.02,135.4,4,19.138,-1,-1,-1,3400.0,14,0.0,-1,1.17,9,5700.0,3,-1,2000.0,51345,0.87,-1,-1,0.0,10200.0,-1,1.21,723,16744,0,benign,benign
att,1716967357,-1,65,-1,0,229.9,2000.0,1,305.6,7500.0,1,21965,58519,21,0.02,135.5,4,19.321,-1,-1,-1,3400.0,15,0.0,-1,1.15,9,5700.0,3,-1,2000.0,51350,0.87,-1,-1,0.0,10200.0,-1,1.1,723,16746,0,benign,benign
att,1716967368,-1,65,-1,0,234.7,2000.0,1,305.9,7500.0,1,21967,58589,22,0.02,135.5,4,19.479,-1,-1,-1,3400.0,15,0.0,-1,1.17,10,5700.0,3,-1,2000.0,51352,0.88,-1,-1,0.0,10200.0,-1,1.23,723,16748,0,benign,benign
att,1716967379,-1,66,-1,0,223.6,2000.0,1,306.2,7500.0,1,21969,58721,23,0.02,135.5,4,19.638,-1,-1,-1,3400.0,15,0.0,-1,1.17,10,5700.0,3,-1,2000.0,51352,0.88,-1,-1,0.0,10200.0,-1,1.19,723,16750,0,benign,benign
att,1716967390,-1,66,-1,0,218.2,2000.0,1,306.5,7500.0,1,21971,58806,24,0.02,135.6,4,19.793,-1,-1,-1,3400.0,15,0.0,-1,1.16,10,5700.0,3,-1,2000.0,51364,0.89,-1,-1,0.0,10200.0,-1,1.16,723,16752,0,benign,benign
att,1716967401,-1,66,-1,0,220.9,2000.0,1,306.9,7500.0,1,21973,58899,25,0.02,135.6,4,19.947,-1,-1,-1,3400.0,15,0.0,-1,1.17,10,5700.0,3,-1,2000.0,51364,0.89,-1,-1,0.0,10200.0,-1,1.21,723,16754,0,benign,benign
att,1716967412,-1,66,-1,0,206.5,2000.0,1,307.2,7500.0,1,21975,59008,26,0.02,135.7,4,20.084,-1,-1,-1,3400.0,15,0.0,-1,1.18,10,5700.0,3,-1,2000.0,51364,0.9,-1,-1,0.0,10200.0,-1,1.26,722,16756,0,benign,benign
att,1716967423,-1,66,-1,0,197.3,2000.0,1,307.5,7500.0,1,21977,59071,27,0.02,135.7,4,20.241,-1,-1,-1,3400.0,15,0.0,-1,1.24,10,5700.0,3,-1,2000.0,51364,0.92,-1,-1,0.0,10200.0,-1,1.54,722,16758,0,benign,benign
att,1716967434,-1,66,-1,0,229.8,2000.0,1,307.9,7500.0,1,21979,59119,28,0.02,135.7,4,20.400000000000002,-1,-1,-1,3400.0,15,0.0,-1,1.25,10,5700.0,3,-1,2000.0,51364,0.93,-1,-1,0.0,10200.0,-1,1.48,722,16760,0,benign,benign
att,1716967445,-1,66,-1,0,221.5,2000.0,1,307.9,7500.0,1,21981,59234,29,0.02,135.8,4,20.563,-1,-1,-1,3400.0,15,0.0,-1,1.24,10,5700.0,3,-1,2000.0,51364,0.93,-1,-1,0.0,10200.0,-1,1.42,722,16762,0,benign,benign
